time	I(Vdd)
4.188472252883208e-07	-1.145452e-09
4.210793681454638e-07	-1.033920e-09
4.233115110026067e-07	-1.014030e-09
4.300079395740354e-07	-8.452710e-10
4.367043681454641e-07	-7.018375e-10
4.434007967168929e-07	-5.837295e-10
4.500972252883216e-07	-4.909468e-10
4.567936538597504e-07	-4.234895e-10
4.634900824311791e-07	-3.813576e-10
4.701865110026078e-07	-3.645511e-10
4.983115110026084e-07	-2.629292e-10
4.990927610026085e-07	1.942056e-09
4.992187500000001e-07	8.897321e-10
4.994707279947833e-07	8.689208e-09
4.995466760417343e-07	-3.024705e-09
4.996479401043357e-07	5.506973e-11
4.998974718747973e-07	-6.672314e-10
5.000000000000001e-07	7.486368e-07
5.000049357947027e-07	8.330169e-05
5.000148073841080e-07	1.424391e-04
5.000345505629185e-07	1.523517e-04
5.000540904679431e-07	1.430241e-04
5.000701284098432e-07	1.333088e-04
5.001000000000001e-07	1.085468e-04
5.001029871590157e-07	4.556800e-05
5.001089614770471e-07	8.101684e-06
5.001209101131099e-07	2.478448e-06
5.001448073852355e-07	1.128679e-06
5.001726889921507e-07	6.335729e-07
5.002284522059811e-07	3.808464e-07
5.003399786336420e-07	2.028165e-07
5.005630314889637e-07	1.063596e-07
5.010091371996071e-07	5.272020e-08
5.017903871996071e-07	2.620781e-08
5.025716371996071e-07	1.665543e-08
5.041341371996072e-07	9.885687e-09
5.062546729138929e-07	7.390407e-09
5.083752086281787e-07	5.348607e-09
5.104957443424645e-07	3.760285e-09
5.126162800567502e-07	2.625441e-09
5.147368157710359e-07	1.944077e-09
5.168573514853218e-07	1.716191e-09
5.189778871996075e-07	1.941784e-09
5.986653871996095e-07	2.468151e-10
5.995187500000001e-07	5.552371e-10
5.997625000000000e-07	3.906307e-10
5.998625000000000e-07	-1.459332e-10
5.999000000000001e-07	4.575789e-10
5.999500000000004e-07	-6.295705e-12
6.000000000000001e-07	1.180489e-08
6.000050000000000e-07	7.945167e-05
6.000150000000000e-07	1.308577e-04
6.000311972241781e-07	1.329469e-04
6.000481817683711e-07	1.097921e-04
6.000635673213717e-07	7.393845e-05
6.000808383630225e-07	3.026987e-05
6.001000000000001e-07	-3.054244e-05
6.001019161636978e-07	-1.100863e-04
6.001057484910934e-07	-1.615651e-04
6.001134131458844e-07	-2.011753e-04
6.001287424554665e-07	-3.079773e-04
6.001472155242780e-07	-4.332175e-04
6.001714983658126e-07	-5.411013e-04
6.002000000000001e-07	-6.183333e-04
6.002028501634189e-07	-5.492264e-04
6.002085504902564e-07	-5.092153e-04
6.002199511439314e-07	-5.163870e-04
6.002427524512813e-07	-5.503144e-04
6.002687244443482e-07	-5.724743e-04
6.003206684304819e-07	-5.686095e-04
6.003751912999670e-07	-5.108442e-04
6.004687017943217e-07	-3.438355e-04
6.005647079362804e-07	-1.894719e-04
6.007015276315870e-07	-6.643697e-05
6.008778256344148e-07	-1.115233e-05
6.010423338170934e-07	-1.077146e-06
6.013026819520958e-07	-8.427048e-08
6.017520707757339e-07	6.930903e-09
6.025333207757340e-07	-9.405312e-10
6.033145707757340e-07	2.431193e-10
6.048770707757340e-07	7.315748e-11
6.072208207757341e-07	-8.628831e-11
6.094529636328770e-07	-6.121474e-11
6.116851064900199e-07	-4.212379e-11
6.139172493471628e-07	-2.901545e-11
6.161493922043058e-07	-2.188972e-11
6.183815350614487e-07	-2.074660e-11
6.206136779185916e-07	-2.558610e-11
6.228458207757345e-07	-3.640821e-11
6.298770707757346e-07	-2.256684e-11
6.386940350614492e-07	-2.470270e-11
6.475109993471636e-07	-2.644330e-11
6.563279636328781e-07	-2.778865e-11
6.651449279185926e-07	-2.873875e-11
6.739618922043072e-07	-2.929359e-11
6.827788564900216e-07	-2.945318e-11
6.915958207757361e-07	-2.921752e-11
6.986270707757363e-07	-1.039071e-10
6.992187500000001e-07	1.479269e-09
6.993187500000001e-07	8.995660e-10
6.996000000000000e-07	9.732730e-10
6.997625000000000e-07	4.751108e-10
6.998625000000000e-07	-1.885853e-09
6.999000000000001e-07	1.009971e-09
6.999249999999999e-07	5.574350e-10
6.999500000000004e-07	-1.432094e-09
7.000000000000001e-07	1.267033e-06
7.000050000000000e-07	8.319923e-05
7.000150000000000e-07	1.419390e-04
7.000349999999999e-07	1.522309e-04
7.000546481028482e-07	1.431149e-04
7.000703178374090e-07	1.334609e-04
7.001000000000001e-07	1.085254e-04
7.001029682162592e-07	4.587050e-05
7.001089046487775e-07	8.483425e-06
7.001207775138138e-07	2.601770e-06
7.001445232438866e-07	1.092410e-06
7.001723172850424e-07	6.167375e-07
7.002279053673539e-07	3.703678e-07
7.003390815319770e-07	2.030746e-07
7.005614338612231e-07	1.064301e-07
7.010061385197151e-07	5.329264e-08
7.017873885197152e-07	2.643813e-08
7.025686385197152e-07	1.685129e-08
7.041311385197152e-07	1.006703e-08
7.062516742340010e-07	7.565816e-09
7.083722099482868e-07	5.518616e-09
7.104927456625725e-07	3.925428e-09
7.126132813768583e-07	2.786253e-09
7.147338170911440e-07	2.101090e-09
7.168543528054298e-07	1.869941e-09
7.189748885197156e-07	2.092804e-09
7.986623885197175e-07	3.639816e-10
7.994187500000001e-07	4.017965e-10
7.999187500000001e-07	3.977614e-10
8.000000000000001e-07	4.244001e-10
