time	I(Vdd)
3.403345141108655e-07	1.046395e-10
3.499327283965800e-07	9.610143e-11
3.595309426822946e-07	8.812944e-11
3.691291569680091e-07	8.072356e-11
3.787273712537236e-07	7.388377e-11
3.883255855394381e-07	6.761008e-11
3.979237998251526e-07	6.190248e-11
3.987050498251526e-07	-3.616561e-10
3.992187500000000e-07	5.073855e-09
3.993187500000000e-07	3.209493e-09
3.995187500000000e-07	4.101616e-09
3.997624999999999e-07	1.866164e-09
3.998624999999999e-07	-6.897132e-09
3.999000000000000e-07	4.212461e-09
3.999249999999999e-07	1.819672e-09
3.999500000000003e-07	-6.103051e-09
4.000000000000000e-07	3.572479e-06
4.000050000000000e-07	1.117555e-04
4.000150000000000e-07	1.755383e-04
4.000349999999998e-07	1.548885e-04
4.000539303200278e-07	9.740541e-05
4.000739065529435e-07	5.441091e-05
4.001000000000000e-07	3.430017e-05
4.001026093447057e-07	-1.528407e-04
4.001078280341170e-07	-2.178208e-04
4.001182654129396e-07	-2.081473e-04
4.001321017535116e-07	-2.917961e-04
4.001477296528045e-07	-4.196765e-04
4.001640013908999e-07	-5.118494e-04
4.001778074639796e-07	-5.374667e-04
4.002000000000000e-07	-5.771708e-04
4.002022192536021e-07	-4.070251e-04
4.002066577608062e-07	-2.951194e-04
4.002155347752143e-07	-2.581933e-04
4.002332888040307e-07	-2.399204e-04
4.002554421900426e-07	-2.302018e-04
4.002962002065878e-07	-1.897231e-04
4.003414720792885e-07	-1.250262e-04
4.004127545722061e-07	-4.590338e-05
4.004667719915245e-07	-1.893914e-05
4.005292405676408e-07	-1.072795e-05
4.006162389647397e-07	-8.428982e-06
4.007606978533220e-07	-7.606524e-06
4.008990210863611e-07	-5.620537e-06
4.010209250718678e-07	-3.209596e-06
4.010842748703956e-07	-2.200993e-06
4.011566195190320e-07	-1.465162e-06
4.012390775129141e-07	-9.550699e-07
4.013375976099012e-07	-5.412685e-07
4.014487058703621e-07	-3.058438e-07
4.015831618867476e-07	-1.416967e-07
4.017466710853603e-07	-7.224669e-08
4.019597288728711e-07	-2.631652e-08
4.022498161888313e-07	-1.881187e-08
4.026824515153491e-07	-7.912828e-09
4.034327135997278e-07	-7.771202e-09
4.049952135997278e-07	-4.938954e-09
4.073389635997279e-07	-3.161773e-09
4.094594993140137e-07	-2.623035e-09
4.115800350282994e-07	-2.169404e-09
4.137005707425852e-07	-1.800879e-09
4.158211064568710e-07	-1.517460e-09
4.179416421711567e-07	-1.319148e-09
4.200621778854425e-07	-1.205942e-09
4.221827135997283e-07	-1.177842e-09
4.268702135997284e-07	-1.025708e-09
4.315577135997285e-07	-8.904357e-10
4.362452135997286e-07	-7.720258e-10
4.409327135997287e-07	-6.704779e-10
4.456202135997288e-07	-5.857921e-10
4.503077135997289e-07	-5.179685e-10
4.549952135997291e-07	-4.670069e-10
4.611336064568721e-07	-4.297920e-10
4.672719993140151e-07	-3.967541e-10
4.734103921711581e-07	-3.678932e-10
4.795487850283011e-07	-3.432093e-10
4.856871778854441e-07	-3.227024e-10
4.918255707425871e-07	-3.063726e-10
4.979639635997301e-07	-2.942198e-10
4.987452135997301e-07	1.944833e-10
4.992187500000001e-07	-5.024954e-09
4.993187500000001e-07	-3.438771e-09
4.996000000000001e-07	-3.278305e-09
4.997625000000000e-07	-1.775178e-09
4.998625000000000e-07	5.803344e-09
4.999000000000001e-07	-2.515509e-09
4.999249999999999e-07	-1.754021e-09
4.999500000000004e-07	3.648630e-09
5.000000000000001e-07	-2.079942e-07
5.000050000000000e-07	8.318300e-05
5.000150000000000e-07	1.426310e-04
5.000349999999999e-07	1.522088e-04
5.000546153730370e-07	1.427300e-04
5.000702686438713e-07	1.332108e-04
5.001000000000001e-07	1.087326e-04
5.001029731356130e-07	4.567196e-05
5.001089194068388e-07	8.137436e-06
5.001208119492902e-07	2.488954e-06
5.001445970341933e-07	1.134471e-06
5.001724282487339e-07	6.362583e-07
5.002280906778150e-07	3.821052e-07
5.003394155359772e-07	2.033990e-07
5.005620652523015e-07	1.065904e-07
5.010073646849502e-07	5.283532e-08
5.017886146849502e-07	2.624259e-08
5.025698646849502e-07	1.666777e-08
5.041323646849503e-07	9.890005e-09
5.062529003992360e-07	7.393241e-09
5.083734361135219e-07	5.350259e-09
5.104939718278076e-07	3.761057e-09
5.126145075420933e-07	2.625638e-09
5.147350432563791e-07	1.943999e-09
5.168555789706649e-07	1.716142e-09
5.189761146849506e-07	1.942067e-09
5.986636146849526e-07	2.477091e-10
5.995187500000001e-07	5.501357e-10
5.997625000000000e-07	3.883682e-10
5.998625000000000e-07	-1.372988e-10
5.999000000000001e-07	4.529492e-10
5.999500000000004e-07	5.095184e-13
6.000000000000001e-07	1.225933e-08
6.000050000000000e-07	7.943001e-05
6.000150000000000e-07	1.308236e-04
6.000311972100761e-07	1.329278e-04
6.000481817571291e-07	1.098371e-04
6.000635668067752e-07	7.405182e-05
6.000808374534602e-07	3.044188e-05
6.001000000000001e-07	-3.024302e-05
6.001019162546540e-07	-1.097164e-04
6.001057487639621e-07	-1.611458e-04
6.001134137825780e-07	-2.008269e-04
6.001287438198099e-07	-3.081230e-04
6.001472160748425e-07	-4.344237e-04
6.001714976978702e-07	-5.438983e-04
6.002000000000001e-07	-6.226095e-04
6.002028502302131e-07	-5.540298e-04
6.002085506906391e-07	-5.152316e-04
6.002199516114910e-07	-5.247899e-04
6.002427534531950e-07	-5.638828e-04
6.002687257130383e-07	-5.936116e-04
6.003206702327249e-07	-6.150828e-04
6.003756832163999e-07	-6.108720e-04
6.004666623124223e-07	-5.667288e-04
6.005711991276203e-07	-4.758421e-04
6.007636118055235e-07	-2.837158e-04
6.010241286178334e-07	-9.947480e-05
6.012631076562678e-07	-2.718332e-05
6.015932465782296e-07	-4.321661e-06
6.019307015074581e-07	-3.051771e-07
6.026056113659148e-07	-5.845164e-09
6.033868613659148e-07	9.831993e-10
6.041681113659149e-07	-5.197123e-10
6.065118613659149e-07	-1.460165e-11
6.086323970802007e-07	-2.220283e-11
6.107529327944865e-07	-2.836655e-11
6.128734685087722e-07	-3.309281e-11
6.149940042230580e-07	-3.638161e-11
6.171145399373437e-07	-3.823295e-11
6.192350756516295e-07	-3.864682e-11
6.213556113659153e-07	-3.762324e-11
6.276056113659154e-07	-3.501555e-11
6.357529327944871e-07	-3.203789e-11
6.439002542230587e-07	-2.964642e-11
6.520475756516303e-07	-2.784115e-11
6.601948970802019e-07	-2.662206e-11
6.683422185087736e-07	-2.598916e-11
6.764895399373453e-07	-2.594245e-11
6.846368613659168e-07	-2.648193e-11
6.986993613659172e-07	-9.691872e-11
6.995187500000001e-07	6.080452e-10
6.997625000000000e-07	2.461577e-10
6.998625000000000e-07	-1.029845e-09
6.999000000000001e-07	4.904763e-10
6.999249999999999e-07	2.856169e-10
6.999500000000004e-07	-7.555012e-10
7.000000000000001e-07	4.379754e-07
7.000050000000000e-07	8.291900e-05
7.000150000000000e-07	1.419332e-04
7.000349999999999e-07	1.522322e-04
7.000546481216082e-07	1.431208e-04
7.000703178674076e-07	1.334650e-04
7.001000000000001e-07	1.085267e-04
7.001029682132593e-07	4.587291e-05
7.001089046397778e-07	8.485614e-06
7.001207774928148e-07	2.601961e-06
7.001445231988889e-07	1.091026e-06
7.001723172101358e-07	6.155701e-07
7.002279052326296e-07	3.699598e-07
7.003390812776173e-07	2.030451e-07
7.005614333675926e-07	1.064550e-07
7.010061375475432e-07	5.329356e-08
7.017873875475433e-07	2.643815e-08
7.025686375475433e-07	1.685126e-08
7.041311375475433e-07	1.006700e-08
7.062516732618290e-07	7.565800e-09
7.083722089761149e-07	5.518609e-09
7.104927446904006e-07	3.925428e-09
7.126132804046864e-07	2.786257e-09
7.147338161189721e-07	2.101097e-09
7.168543518332579e-07	1.869946e-09
7.189748875475437e-07	2.092806e-09
7.986623875475456e-07	3.640153e-10
7.994187500000001e-07	4.020523e-10
7.999187500000001e-07	3.979520e-10
8.000000000000001e-07	4.247518e-10
