time	I(Vdd)
2.001060100511732e-07	-7.537720e-05
2.001122139749648e-07	-7.925430e-05
2.001246218225481e-07	-1.174649e-04
2.001423305310159e-07	-2.122476e-04
2.001626629316806e-07	-3.138796e-04
2.001798333037220e-07	-3.477302e-04
2.002000000000000e-07	-3.327191e-04
2.002020166696278e-07	-2.642346e-04
2.002060500088834e-07	-2.145235e-04
2.002141166873946e-07	-1.895068e-04
2.002302500444170e-07	-1.750196e-04
2.002471115587005e-07	-1.758047e-04
2.002808345872673e-07	-1.643208e-04
2.003294643574393e-07	-1.102992e-04
2.003837522604620e-07	-5.637632e-05
2.004322882390220e-07	-3.096208e-05
2.004920357317156e-07	-1.873844e-05
2.005627899470255e-07	-1.431995e-05
2.006394337885921e-07	-1.045643e-05
2.007064822777923e-07	-6.420053e-06
2.007451570251467e-07	-4.565637e-06
2.007990922775965e-07	-2.833539e-06
2.008506177674632e-07	-1.718867e-06
2.009268839047586e-07	-8.414611e-07
2.010018604724162e-07	-3.801150e-07
2.011128996839033e-07	-1.339785e-07
2.012359509588844e-07	-2.570334e-08
2.014385442921251e-07	-4.243055e-09
2.017081821058065e-07	6.351987e-09
2.022474577331694e-07	1.960595e-09
2.030287077331694e-07	3.045955e-09
2.087206720188836e-07	2.102743e-09
2.144126363045979e-07	1.344944e-09
2.201046005903121e-07	7.725578e-10
2.257965648760264e-07	3.855841e-10
2.314885291617407e-07	1.840229e-10
2.371804934474549e-07	1.678743e-10
2.428724577331691e-07	3.371383e-10
2.983412077331705e-07	1.455192e-10
2.991224577331705e-07	2.972623e-09
2.994113345336591e-07	-4.835505e-10
2.996148309326820e-07	-1.421124e-09
2.997148309326820e-07	-1.659386e-11
2.998000000000000e-07	-4.525201e-09
2.998296618653640e-07	-4.329877e-09
2.998889855960918e-07	-2.299586e-10
3.000000000000000e-07	2.660839e-06
3.000049831471825e-07	8.315879e-05
3.000149494415473e-07	1.363824e-04
3.000310091878236e-07	1.143028e-04
3.000479071982787e-07	5.781628e-05
3.000648081473091e-07	1.423304e-05
3.000814759983403e-07	-1.250011e-05
3.001000000000000e-07	-3.664987e-05
3.001018524001660e-07	-8.657387e-05
3.001055572004980e-07	-1.192220e-04
3.001129668011619e-07	-1.425815e-04
3.001277860024897e-07	-2.023594e-04
3.001510992765870e-07	-3.033924e-04
3.001960340304124e-07	-4.662321e-04
3.002376204711592e-07	-5.583424e-04
3.002840399727800e-07	-5.915251e-04
3.003383634895891e-07	-5.721982e-04
3.003996631301520e-07	-4.970267e-04
3.004861945563474e-07	-3.472053e-04
3.006107400557030e-07	-1.613885e-04
3.007398491522119e-07	-5.710965e-05
3.009067787468068e-07	-1.222049e-05
3.010846593626365e-07	-1.696187e-06
3.013699323496623e-07	-1.090481e-07
3.018467737272668e-07	9.913200e-09
3.026280237272668e-07	-1.251934e-09
3.034092737272668e-07	5.899494e-10
3.057530237272669e-07	7.297274e-12
3.093244522986956e-07	6.163052e-11
3.128958808701242e-07	1.025927e-10
3.164673094415529e-07	1.301838e-10
3.200387380129815e-07	1.444038e-10
3.236101665844102e-07	1.452527e-10
3.271815951558388e-07	1.327305e-10
3.307530237272675e-07	1.068372e-10
3.403512380129820e-07	1.008100e-10
3.499494522986965e-07	9.463593e-11
3.595476665844110e-07	8.831489e-11
